Date,A,AG,AL,AP,AU,B,BB,BU,C,CF,CS,CU,CY,ER,FB,FG,FU,HC,I,IC,IF,IH,J,JD,JM,JR,L,LR,M,MA,ME,NI,OI,P,PB,PM,PP,RB,RI,RM,RO,RS,RU,SC,SF,SM,SN,SR,T,TA,TC,TF,V,WH,WR,WS,WT,Y,ZC,ZN
2011/8/4 00:00,-0.010197578,0.000118242,-0.020788337,0.000118242,0.00092673,-0.006827309,0.000118242,0.000118242,-0.005123826,-0.014144272,0.000118242,-0.006244796,0.000118242,-0.00307574,0.000118242,0.000118242,-0.003537041,0.000118242,0.000118242,0.000118242,0.000878378,0.000118242,0.007877462,0.000118242,0.000118242,0.000118242,-0.021973466,0.000118242,-0.00889416,0.000118242,0.000118242,0.000118242,0.000118242,-0.009534128,-0.009947338,0.000118242,0.000118242,-0.012632845,0.000118242,0.000118242,-0.006779661,0.000118242,-0.000140115,0.000118242,0.000118242,0.000118242,0.000118242,-0.002320186,0.000118242,-0.007630439,0.000118242,0.000118242,-0.005924171,0.000118242,0.000118242,-0.001799208,-0.002277904,-0.007915058,0.000118242,-0.007882577
2011/8/5 00:00,-0.020819918,0.000118242,-0.035842294,0.000118242,-0.004455761,-0.017387788,0.000118242,0.000118242,-0.006008584,0.004304161,0.000118242,-0.042452171,0.000118242,-0.010412649,0.000118242,0.000118242,0.003746796,0.000118242,0.000118242,0.000118242,-0.022412746,0.000118242,-0.002605297,0.000118242,0.000118242,0.000118242,-0.045782111,0.000118242,-0.023930601,0.000118242,0.000118242,0.000118242,0.000118242,-0.029096478,-0.038416076,0.000118242,0.000118242,-0.02376117,0.000118242,0.000118242,-0.017633675,0.000118242,-0.055353139,0.000118242,0.000118242,0.000118242,0.000118242,-0.009165527,0.000118242,-0.047173732,0.000118242,0.000118242,-0.038140644,0.000118242,-0.002074689,-0.007570296,-0.007305936,-0.02490757,0.000118242,-0.059452055
2011/8/8 00:00,-0.006576063,0.000118242,-0.02344867,0.000118242,0.030196466,-0.01399177,0.000118242,0.000118242,0.030656304,-0.009761905,0.000118242,-0.012979437,0.000118242,0.005066251,0.000118242,0.000118242,-0.007269155,0.000118242,0.000118242,0.000118242,-0.034528002,0.000118242,-0.011754462,0.000118242,0.000118242,0.000118242,-0.02221235,0.000118242,-0.003371131,0.000118242,0.000118242,0.000118242,0.000118242,-0.004731861,-0.001229256,0.000118242,0.000118242,-0.005200749,0.000118242,0.000118242,-0.001351091,0.000118242,-0.000445038,0.000118242,0.000118242,0.000118242,0.000118242,0.004832252,0.000118242,0.001526718,0.000118242,0.000118242,-0.008674102,0.000118242,-0.008939709,-0.005811842,-0.007359706,-0.001197366,0.000118242,-0.023885814
2011/8/9 00:00,-0.010370697,0.000118242,0.011127379,0.000118242,0.022540695,-0.013772955,0.000118242,0.000118242,0.001675744,-0.007453715,0.000118242,-0.025413712,0.000118242,0.00271423,0.000118242,0.000118242,-0.034237087,0.000118242,0.000118242,0.000118242,0.008583077,0.000118242,-0.018061674,0.000118242,0.000118242,0.000118242,-0.031349387,0.000118242,-0.00799508,0.000118242,0.000118242,0.000118242,0.000118242,-0.022413403,-0.013846154,0.000118242,0.000118242,-0.003554998,0.000118242,0.000118242,-0.015075377,0.000118242,-0.02686257,0.000118242,0.000118242,0.000118242,0.000118242,-0.004534213,0.000118242,-0.027221254,0.000118242,0.000118242,-0.03,0.000118242,0.011118104,-0.006941907,-0.008804449,-0.017982018,0.000118242,-0.021187705
2011/8/10 00:00,0.007134894,0.000118242,0.018824211,0.000118242,-0.001876069,0.015658062,0.000118242,0.000118242,-0.001254705,-0.000242248,0.000118242,0.017131595,0.000118242,-0.00154679,0.000118242,0.000118242,0.008401639,0.000118242,0.000118242,0.000118242,-0.004396851,0.000118242,0.002243158,0.000118242,0.000118242,0.000118242,0.017354597,0.000118242,0.010539368,0.000118242,0.000118242,0.000118242,0.000118242,0.009495137,0.028393136,0.000118242,0.000118242,0.00524659,0.000118242,0.000118242,0.007849294,0.000118242,0.00747293,0.000118242,0.000118242,0.000118242,0.000118242,0.019875776,0.000118242,0.026192075,0.000118242,0.000118242,0.014819588,0.000118242,-0.028838174,0.002207506,0.007012623,0.00671414,0.000118242,0.018902439
2011/8/11 00:00,0.008412663,0.000118242,0.002558272,0.000118242,0.015617226,0.001041667,0.000118242,0.000118242,0.010469012,-0.001453841,0.000118242,-0.005664033,0.000118242,0.00232378,0.000118242,0.000118242,0.002032107,0.000118242,0.000118242,0.000118242,0.025571622,0.000118242,-0.002238138,0.000118242,0.000118242,0.000118242,0.010142923,0.000118242,0.005214724,0.000118242,0.000118242,0.000118242,0.000118242,0.00527644,0.002730583,0.000118242,0.000118242,0.001878914,0.000118242,0.000118242,0.000778816,0.000118242,0.034514078,0.000118242,0.000118242,0.000118242,0.000118242,0.011638923,0.000118242,0.039048866,0.000118242,0.000118242,0.006984127,0.000118242,0.001495407,0.001101322,0.000928505,0.007477769,0.000118242,0.004189108
2011/8/12 00:00,0.000658617,0.000118242,-0.011057556,0.000118242,-0.012083934,0.008740895,0.000118242,0.000118242,-0.001657688,0.024508614,0.000118242,-0.003747564,0.000118242,-0.004250386,0.000118242,0.000118242,0.000405597,0.000118242,0.000118242,0.000118242,-0.006667593,0.000118242,-0.001794527,0.000118242,0.000118242,0.000118242,0.003651301,0.000118242,0.001525786,0.000118242,0.000118242,0.000118242,0.000118242,0.001141031,0.00816944,0.000118242,0.000118242,0.002083767,0.000118242,0.000118242,0.000583658,0.000118242,0.00365818,0.000118242,0.000118242,0.000118242,0.000118242,-0.000535117,0.000118242,0.011337392,0.000118242,0.000118242,-0.000630517,0.000118242,0.004906143,-0.00550055,-0.003246753,-0.000200602,0.000118242,0.003873659
2011/8/15 00:00,0.013602457,0.000118242,-0.006307339,0.000118242,-0.007493319,0.018361873,0.000118242,0.000118242,0.0041511,0.006868783,0.000118242,0.012639181,0.000118242,0.006984866,0.000118242,0.000118242,0.001824448,0.000118242,0.000118242,0.000118242,0.016291428,0.000118242,-0.01258427,0.000118242,0.000118242,0.000118242,0.005002274,0.000118242,0.007921999,0.000118242,0.000118242,0.000118242,0.000118242,0.010485525,0.004201681,0.000118242,0.000118242,0.009357455,0.000118242,0.000118242,0.009333074,0.000118242,0.000437382,0.000118242,0.000118242,0.000118242,0.000118242,-0.00896801,0.000118242,0.009964708,0.000118242,0.000118242,0.00126183,0.000118242,0.003396307,0.006637168,0.002326664,0.008426966,0.000118242,0.019590383
2011/8/16 00:00,-0.009090909,0.000118242,-0.010386613,0.000118242,0.017181558,-0.003241491,0.000118242,0.000118242,-0.005374122,-0.00564573,0.000118242,-0.012035661,0.000118242,-0.005780347,0.000118242,0.000118242,-0.003844597,0.000118242,0.000118242,0.000118242,-0.009287926,0.000118242,-0.013654984,0.000118242,0.000118242,0.000118242,-0.026244344,0.000118242,-0.006045949,0.000118242,0.000118242,0.000118242,0.000118242,-0.005865103,-0.016736402,0.000118242,0.000118242,-0.004326329,0.000118242,0.000118242,-0.00173377,0.000118242,-0.015301661,0.000118242,0.000118242,0.000118242,0.000118242,-0.007428417,0.000118242,-0.014182939,0.000118242,0.000118242,-0.006931317,0.000118242,0.000118242,-0.004029304,-0.00371402,-0.005769996,0.000118242,-0.033478894
2011/8/17 00:00,0.006116208,0.000118242,0.009329446,0.000118242,0.007777111,0.006300813,0.000118242,0.000118242,-0.000415628,0.007806955,0.000118242,0.004662355,0.000118242,-0.001550388,0.000118242,0.000118242,0.00223441,0.000118242,0.000118242,0.000118242,0.003680556,0.000118242,-0.005076142,0.000118242,0.000118242,0.000118242,0.016263941,0.000118242,0.005778589,0.000118242,0.000118242,0.000118242,0.000118242,0.005672793,0.012462006,0.000118242,0.000118242,0.006207325,0.000118242,0.000118242,0.004824392,0.000118242,0.009323664,0.000118242,0.000118242,0.000118242,0.000118242,0.006123282,0.000118242,0.045037531,0.000118242,0.000118242,0.007614213,0.000118242,0.002115507,-0.001103347,0.000118242,0.006804082,0.000118242,0.022590361
