Date,Finance,Agricultural Extra,Precious,Metal,Black,Non-Metal Meterial, Energy,Chemical,Cereals,Oil,Soft
2011/8/4 00:00,0.000878378,0,0.00092673,-0.041892454,0.004235212,-0.005924171,-0.004344392,-0.02974402,-0.011741922,-0.050147894,-0.01362353
2011/8/5 00:00,-0.022412746,0,-0.004455761,-0.181072047,-0.028441156,-0.038140644,-0.019436731,-0.148308982,-0.03073733,-0.13377603,-0.003332582
2011/8/8 00:00,-0.034528002,0,0.030196466,-0.065821877,-0.02589492,-0.008674102,0.00262945,-0.02113067,-0.002401441,-0.031219281,-0.00653402
2011/8/9 00:00,0.008583077,0,0.022540695,-0.049320191,-0.010498568,-0.03,-0.015533589,-0.085433211,-0.006582386,-0.08760953,-0.016969689
2011/8/10 00:00,-0.004396851,0,-0.001876069,0.08325138,-0.021348426,0.014819588,0.008401639,0.051019602,0.008848456,0.057390894,0.014886468
2011/8/11 00:00,0.025571622,0,0.015617226,0.003813929,0.001136184,0.006984127,0.002032107,0.083705867,0.015675851,0.028202078,0.013310365
2011/8/12 00:00,-0.006667593,0,-0.012083934,-0.002564711,0.002994756,-0.000630517,0.000405597,0.018646873,-0.022080033,0.012449385,0.005901117
2011/8/15 00:00,0.012445812,0,-0.007493319,0.030962418,-0.01464234,0.00126183,0.001824448,0.015404364,0.028559651,0.068131895,-0.002099227
2011/8/16 00:00,-0.009287926,0,0.017181558,-0.072343882,-0.001815031,-0.006931317,-0.003844597,-0.055728945,-0.020964119,-0.031747218,-0.013074147
2011/8/17 00:00,0.003680556,0,0.007777111,0.049044169,0.012288207,0.007614213,0.00223441,0.070625136,-0.001280453,0.035496878,0.013930237
2011/8/18 00:00,-0.015290943,0,0.002897295,-0.003422175,-0.018907147,-0.006926952,0,-0.031851098,-0.018451698,-0.003989226,0.000910966
2011/8/19 00:00,-0.014263631,0,0.036233058,-0.015345404,-0.016399895,-0.0082435,-0.012160519,-0.009521454,-0.00842605,-0.017973399,-0.008651848
2011/8/22 00:00,-0.00698553,0,0.022355393,-0.017574614,-0.004908414,-0.003196931,-0.001025851,-0.032132503,0.002862494,0.000742728,-0.003856774
